run_name,hidden,aggregator,fanout_s,fanout_l,dropout,batch_size,epoch,train_loss,train_acc,val_loss,val_acc,norm_train_acc,norm_val_acc
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,20,2.0001,0.4583,2.4485,0.0441,0.4583,0.0441
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,21,1.985,0.4019,2.3698,0.052,0.4019,0.052
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,22,1.9831,0.3879,2.4005,0.0478,0.3879,0.0478
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,23,1.9662,0.3941,2.4227,0.0487,0.3941,0.0487
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,24,1.9651,0.4279,2.3621,0.0511,0.4279,0.0511
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,25,1.9592,0.4047,2.4396,0.0402,0.4047,0.0402
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,1,2.2103,0.3729,2.001,0.0561,0.3729,0.0561
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,2,2.1734,0.4209,2.0563,0.0333,0.4209,0.0333
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,3,2.1446,0.4368,2.2409,0.0336,0.4368,0.0336
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,4,2.1232,0.5059,2.3174,0.0331,0.5059,0.0331
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,5,2.1138,0.5083,2.2773,0.0342,0.5083,0.0342
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,6,2.0967,0.452,2.3389,0.0416,0.452,0.0416
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,7,2.0913,0.483,2.3709,0.0403,0.483,0.0403
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,8,2.0893,0.4663,2.428,0.0377,0.4663,0.0377
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,9,2.0853,0.5123,2.3344,0.0436,0.5123,0.0436
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,10,2.0711,0.46,2.4195,0.0427,0.46,0.0427
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,11,2.0645,0.521,2.3174,0.0465,0.521,0.0465
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,12,2.0606,0.5279,2.3294,0.0484,0.5279,0.0484
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,13,2.0534,0.4428,2.3218,0.0529,0.4428,0.0529
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,14,2.0499,0.4907,2.336,0.0482,0.4907,0.0482
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,15,2.0408,0.4755,2.2972,0.0501,0.4755,0.0501
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,16,2.0347,0.4594,2.3849,0.0469,0.4594,0.0469
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,17,2.0268,0.4357,2.1987,0.0597,0.4357,0.0597
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,18,2.0232,0.4259,2.3831,0.0484,0.4259,0.0484
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,19,2.0175,0.4294,2.3509,0.0498,0.4294,0.0498
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,20,2.0141,0.469,2.3037,0.0518,0.469,0.0518
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,21,2.0043,0.4051,2.3168,0.05,0.4051,0.05
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,22,2.0096,0.454,2.4971,0.0371,0.454,0.0371
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,23,2.0034,0.4031,2.2132,0.0514,0.4031,0.0514
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,24,1.9914,0.4309,2.4384,0.0403,0.4309,0.0403
hid64_aggmean_fan25-15_drop30_bs256,64,mean,25,15,0.3,256,25,1.988,0.4005,2.3217,0.0473,0.4005,0.0473
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,1,2.2035,0.4005,1.9245,0.1628,0.4005,0.1628
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,2,2.1764,0.3875,2.193,0.0326,0.3875,0.0326
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,3,2.1407,0.4118,2.1607,0.0627,0.4118,0.0627
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,4,2.1323,0.4666,2.288,0.0413,0.4666,0.0413
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,5,2.1253,0.4832,2.3078,0.0363,0.4832,0.0363
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,6,2.1031,0.5093,2.214,0.0497,0.5093,0.0497
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,7,2.0967,0.4419,2.3118,0.051,0.4419,0.051
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,8,2.0937,0.5248,2.3994,0.0376,0.5248,0.0376
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,9,2.0818,0.4802,2.3653,0.0382,0.4802,0.0382
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,10,2.0692,0.4904,2.4282,0.0428,0.4904,0.0428
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,11,2.0789,0.4886,2.3104,0.045,0.4886,0.045
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,12,2.0606,0.5172,2.3937,0.0442,0.5172,0.0442
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,13,2.0669,0.4622,2.2773,0.0448,0.4622,0.0448
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,14,2.064,0.4683,2.3642,0.0429,0.4683,0.0429
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,15,2.0509,0.4598,2.2932,0.0436,0.4598,0.0436
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,16,2.0481,0.4441,2.3909,0.04,0.4441,0.04
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,17,2.0426,0.4578,2.242,0.0603,0.4578,0.0603
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,18,2.0329,0.4795,2.3906,0.0429,0.4795,0.0429
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,19,2.0376,0.4728,2.3262,0.0475,0.4728,0.0475
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,20,2.0226,0.4457,2.3868,0.0436,0.4457,0.0436
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,21,2.0165,0.4529,2.3492,0.0503,0.4529,0.0503
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,22,2.0215,0.4332,2.273,0.0515,0.4332,0.0515
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,23,2.011,0.4587,2.3998,0.0395,0.4587,0.0395
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,24,2.0059,0.4407,2.3444,0.0508,0.4407,0.0508
hid64_aggmean_fan25-15_drop40_bs256,64,mean,25,15,0.4,256,25,2.005,0.4326,2.341,0.0423,0.4326,0.0423
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,1,2.2443,0.2799,2.0862,0.0921,0.2799,0.0921
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,2,2.2209,0.2357,2.2847,0.0251,0.2357,0.0251
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,3,2.1884,0.2691,2.3106,0.0333,0.2691,0.0333
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,4,2.163,0.3663,2.3179,0.0344,0.3663,0.0344
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,5,2.1489,0.331,2.454,0.035,0.331,0.035
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,6,2.1279,0.3807,2.4635,0.0384,0.3807,0.0384
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,7,2.1312,0.3816,2.4982,0.0326,0.3816,0.0326
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,8,2.1101,0.3986,2.4782,0.0373,0.3986,0.0373
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,9,2.1147,0.4184,2.5681,0.0376,0.4184,0.0376
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,10,2.1078,0.3807,2.4994,0.0388,0.3807,0.0388
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,11,2.0904,0.4061,2.5038,0.0325,0.4061,0.0325
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,12,2.0827,0.3803,2.57,0.0361,0.3803,0.0361
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,13,2.0724,0.369,2.3857,0.0503,0.369,0.0503
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,14,2.0737,0.3506,2.6316,0.0371,0.3506,0.0371
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,15,2.0666,0.358,2.4916,0.0377,0.358,0.0377
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,16,2.0632,0.3232,2.5458,0.0389,0.3232,0.0389
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,17,2.0532,0.358,2.6144,0.0284,0.358,0.0284
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,18,2.0442,0.3493,2.4806,0.0434,0.3493,0.0434
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,19,2.0445,0.3366,2.5553,0.0367,0.3366,0.0367
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,20,2.042,0.3279,1.9692,0.1062,0.3279,0.1062
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,21,2.0294,0.3603,2.5261,0.0352,0.3603,0.0352
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,22,2.0182,0.3322,2.4351,0.0503,0.3322,0.0503
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,23,2.0187,0.3416,2.4878,0.0391,0.3416,0.0391
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,24,2.0157,0.3203,2.4646,0.044,0.3203,0.044
hid64_aggmean_fan15-10_drop20_bs512,64,mean,15,10,0.2,512,25,2.0084,0.3659,2.4775,0.0415,0.3659,0.0415
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,1,2.2516,0.3922,2.1204,0.1434,0.3922,0.1434
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,2,2.2199,0.3268,2.1211,0.0528,0.3268,0.0528
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,3,2.1977,0.2738,2.1193,0.0614,0.2738,0.0614
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,4,2.1722,0.306,2.2402,0.0337,0.306,0.0337
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,5,2.1587,0.3703,2.3063,0.0346,0.3703,0.0346
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,6,2.146,0.3245,2.4308,0.0342,0.3245,0.0342
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,7,2.1274,0.3592,2.5158,0.0341,0.3592,0.0341
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,8,2.1176,0.3675,2.3761,0.0382,0.3675,0.0382
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,9,2.1093,0.3413,2.4041,0.0372,0.3413,0.0372
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,10,2.116,0.3801,2.375,0.042,0.3801,0.042
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,11,2.0939,0.4013,2.4541,0.0391,0.4013,0.0391
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,12,2.0938,0.3916,2.6132,0.0366,0.3916,0.0366
hid64_aggmean_fan15-10_drop30_bs512,64,mean,15,10,0.3,512,13,2.094,0.4046,2.4307,0.0423,0.4046,0.0423
